id_orden,id_cliente,id_mesero,tipo_pedido,numero_mesa,fecha_orden,estado_orden
1,663,4,domicilio,,2026-03-28 07:28:14,pagada
2,588,3,domicilio,,2026-02-01 04:21:31,pagada
3,184,2,para_llevar,,2025-12-10 20:53:08,pagada
4,374,5,para_llevar,,2025-03-30 22:40:44,pagada
5,456,2,en_mesa,5.0,2025-08-26 21:34:35,pagada
6,790,2,para_llevar,,2025-07-13 15:11:59,anulada
7,455,5,en_mesa,3.0,2025-05-14 17:52:43,pagada
8,744,3,domicilio,,2025-10-02 09:30:13,pagada
9,523,2,en_mesa,10.0,2025-12-02 13:17:18,pagada
10,61,5,domicilio,,2025-06-11 07:28:14,pagada
11,516,3,para_llevar,,2025-12-11 08:09:13,cortesia
12,1349,5,domicilio,,2025-11-30 05:32:31,cortesia
13,1403,2,para_llevar,,2025-11-23 09:19:15,cortesia
14,823,4,para_llevar,,2025-11-08 01:47:01,cortesia
15,1415,5,para_llevar,,2025-05-22 17:29:55,anulada
16,273,1,domicilio,,2025-05-22 13:21:00,pagada
17,119,4,domicilio,,2025-05-20 00:25:43,pagada
18,1318,2,domicilio,,2025-08-07 05:11:16,pagada
19,730,5,en_mesa,12.0,2025-08-27 20:08:48,cortesia
20,163,4,en_mesa,3.0,2026-01-02 10:17:41,pagada
21,1128,4,en_mesa,4.0,2025-07-23 21:27:30,pagada
22,1139,2,en_mesa,12.0,2026-01-22 18:06:14,pagada
23,1308,2,en_mesa,10.0,2025-12-17 09:45:53,pagada
24,923,4,para_llevar,,2025-11-22 21:14:17,pagada
25,1259,1,domicilio,,2025-05-16 14:54:24,pagada
26,524,4,en_mesa,2.0,2026-01-27 04:39:06,anulada
27,1433,4,en_mesa,5.0,2026-03-29 06:15:23,anulada
28,249,2,en_mesa,9.0,2026-03-26 12:44:38,pagada
29,149,5,en_mesa,1.0,2025-07-22 23:53:05,anulada
30,908,4,en_mesa,9.0,2025-11-12 20:00:41,anulada
31,424,1,en_mesa,8.0,2026-02-25 19:04:23,pagada
32,874,3,para_llevar,,2025-12-03 14:15:40,pagada
33,1062,1,para_llevar,,2025-07-09 03:42:47,anulada
34,1245,5,para_llevar,,2025-09-22 18:58:23,cortesia
35,683,3,para_llevar,,2025-06-28 10:33:51,cortesia
36,544,5,para_llevar,,2025-09-08 10:38:08,cortesia
37,1092,5,para_llevar,,2025-07-11 05:44:10,cortesia
38,1238,5,en_mesa,12.0,2025-09-03 22:14:58,cortesia
39,120,5,en_mesa,13.0,2025-07-07 09:28:38,cortesia
40,77,4,domicilio,,2026-02-18 06:49:18,cortesia
41,935,5,en_mesa,11.0,2025-09-25 11:09:12,cortesia
42,497,5,domicilio,,2025-11-02 16:27:01,pagada
43,17,5,en_mesa,8.0,2025-08-21 21:00:28,pagada
44,540,4,para_llevar,,2025-08-14 20:15:09,cortesia
45,37,5,en_mesa,12.0,2026-01-23 07:44:47,pagada
46,1,2,para_llevar,,2026-01-26 06:24:44,pagada
47,1389,5,para_llevar,,2026-01-20 23:30:34,cortesia
48,1064,1,domicilio,,2025-05-12 09:51:16,anulada
49,806,3,para_llevar,,2025-05-27 04:40:10,pagada
