id_pago,id_orden,metodo_pago,subtotal,propina_voluntaria,total_pagado
1,1,efectivo,107746,10774,118520
2,2,tarjeta_debito,114584,11458,126042
3,3,nequi,133206,0,133206
4,4,efectivo,32691,0,32691
5,5,tarjeta_credito,134199,0,134199
7,7,daviplata,136529,0,136529
8,8,efectivo,89514,0,89514
9,9,nequi,58028,0,58028
10,10,daviplata,102458,10245,112703
16,16,nequi,23668,0,23668
17,17,efectivo,26128,2612,28740
18,18,efectivo,75487,7548,83035
20,20,efectivo,119594,0,119594
21,21,efectivo,46459,4645,51104
22,22,daviplata,144333,0,144333
23,23,tarjeta_debito,56020,5602,61622
24,24,tarjeta_credito,20439,2043,22482
25,25,tarjeta_debito,91598,9159,100757
28,28,tarjeta_credito,103654,0,103654
31,31,efectivo,27179,2717,29896
32,32,efectivo,15491,1549,17040
42,42,tarjeta_credito,106149,10614,116763
43,43,daviplata,36633,3663,40296
45,45,efectivo,148441,14844,163285
46,46,daviplata,56643,5664,62307
49,49,tarjeta_credito,81689,0,81689
50,50,tarjeta_credito,83288,0,83288
51,51,tarjeta_debito,108994,10899,119893
52,52,daviplata,104216,0,104216
54,54,efectivo,17749,0,17749
56,56,efectivo,68400,0,68400
57,57,nequi,71735,7173,78908
60,60,efectivo,120771,12077,132848
61,61,tarjeta_credito,123594,12359,135953
62,62,nequi,125457,12545,138002
65,65,daviplata,30840,3084,33924
67,67,daviplata,68009,0,68009
68,68,tarjeta_credito,90682,0,90682
69,69,tarjeta_credito,31161,3116,34277
72,72,tarjeta_credito,127644,0,127644
74,74,efectivo,65086,0,65086
75,75,nequi,123800,0,123800
76,76,tarjeta_debito,49080,0,49080
79,79,tarjeta_credito,64031,0,64031
82,82,efectivo,15336,1533,16869
83,83,efectivo,82285,0,82285
84,84,tarjeta_debito,22146,2214,24360
85,85,nequi,17089,0,17089
86,86,tarjeta_debito,149241,14924,164165
87,87,daviplata,66390,0,66390
88,88,daviplata,111636,11163,122799
89,89,daviplata,23183,0,23183
90,90,nequi,97119,9711,106830
91,91,nequi,68479,6847,75326
92,92,efectivo,53901,0,53901
93,93,nequi,111456,11145,122601
95,95,tarjeta_debito,53478,5347,58825
96,96,tarjeta_debito,115237,0,115237
97,97,nequi,53090,0,53090
98,98,tarjeta_credito,116101,11610,127711
99,99,tarjeta_credito,45165,4516,49681
100,100,nequi,102126,0,102126
102,102,tarjeta_debito,38861,3886,42747
103,103,nequi,28003,0,28003
104,104,tarjeta_credito,50904,0,50904
106,106,efectivo,65067,6506,71573
111,111,daviplata,92049,9204,101253
112,112,daviplata,67196,6719,73915
114,114,efectivo,129062,12906,141968
115,115,nequi,108153,0,108153
116,116,nequi,67289,0,67289
117,117,efectivo,37870,0,37870
119,119,nequi,112731,11273,124004
120,120,nequi,112682,11268,123950
121,121,nequi,118407,11840,130247
122,122,efectivo,113877,11387,125264
123,123,daviplata,137597,0,137597
124,124,daviplata,60733,6073,66806
125,125,daviplata,122995,12299,135294
126,126,efectivo,145173,0,145173
127,127,tarjeta_credito,78851,7885,86736
128,128,nequi,24063,0,24063
129,129,efectivo,96153,9615,105768
135,135,daviplata,58481,5848,64329
137,137,nequi,109185,10918,120103
139,139,nequi,111457,0,111457
140,140,daviplata,142336,0,142336
141,141,tarjeta_debito,81426,8142,89568
142,142,daviplata,62155,0,62155
144,144,nequi,24487,2448,26935
145,145,daviplata,134194,13419,147613
147,147,nequi,119990,11999,131989
148,148,nequi,17128,1712,18840
149,149,tarjeta_debito,68998,0,68998
152,152,daviplata,73456,0,73456
153,153,tarjeta_debito,53845,5384,59229
156,156,efectivo,59392,5939,65331
160,160,tarjeta_debito,32996,3299,36295
162,162,nequi,143651,0,143651
166,166,tarjeta_debito,52867,5286,58153
168,168,nequi,25480,2548,28028
171,171,nequi,126669,0,126669
175,175,tarjeta_debito,63185,6318,69503
176,176,tarjeta_debito,66382,0,66382
178,178,nequi,112802,11280,124082
179,179,efectivo,35522,3552,39074
180,180,tarjeta_credito,45918,0,45918
181,181,efectivo,127938,12793,140731
184,184,tarjeta_debito,40736,4073,44809
185,185,daviplata,46074,4607,50681
187,187,nequi,47097,4709,51806
188,188,daviplata,112956,11295,124251
189,189,nequi,41362,0,41362
190,190,nequi,77925,7792,85717
192,192,tarjeta_debito,114645,11464,126109
193,193,tarjeta_credito,108839,0,108839
195,195,tarjeta_credito,130459,0,130459
196,196,nequi,48808,4880,53688
197,197,tarjeta_debito,44885,0,44885
198,198,daviplata,145521,14552,160073
199,199,nequi,139227,13922,153149
203,203,tarjeta_debito,61389,6138,67527
207,207,efectivo,143366,0,143366
208,208,nequi,115286,0,115286
209,209,tarjeta_debito,73389,7338,80727
210,210,tarjeta_debito,123076,12307,135383
214,214,tarjeta_credito,140588,0,140588
216,216,nequi,102753,10275,113028
221,221,tarjeta_credito,60262,6026,66288
222,222,daviplata,37177,3717,40894
224,224,daviplata,93862,0,93862
226,226,daviplata,32673,3267,35940
228,228,tarjeta_debito,80721,0,80721
229,229,daviplata,30023,3002,33025
231,231,efectivo,116682,0,116682
232,232,tarjeta_debito,100777,0,100777
233,233,tarjeta_debito,28421,2842,31263
234,234,daviplata,97962,9796,107758
235,235,tarjeta_debito,86447,0,86447
236,236,tarjeta_debito,102364,0,102364
237,237,tarjeta_credito,118220,0,118220
238,238,tarjeta_credito,29409,2940,32349
239,239,nequi,115302,0,115302
242,242,efectivo,128811,12881,141692
244,244,tarjeta_credito,102063,10206,112269
245,245,tarjeta_debito,33435,0,33435
247,247,tarjeta_debito,132560,13256,145816
248,248,nequi,65816,0,65816
249,249,tarjeta_credito,133673,13367,147040
250,250,tarjeta_debito,138021,13802,151823
251,251,tarjeta_credito,66151,0,66151
252,252,tarjeta_debito,38265,0,38265
253,253,nequi,131965,13196,145161
254,254,efectivo,36314,3631,39945
255,255,daviplata,78619,0,78619
257,257,tarjeta_debito,61557,0,61557
258,258,nequi,33052,3305,36357
259,259,nequi,148008,14800,162808
260,260,efectivo,120460,0,120460
261,261,daviplata,103614,10361,113975
265,265,tarjeta_debito,103573,10357,113930
266,266,daviplata,145096,14509,159605
268,268,tarjeta_credito,63481,6348,69829
269,269,tarjeta_credito,48058,0,48058
270,270,tarjeta_debito,113937,0,113937
271,271,tarjeta_debito,33333,3333,36666
272,272,efectivo,104191,10419,114610
273,273,nequi,31660,0,31660
274,274,tarjeta_credito,144471,14447,158918
275,275,tarjeta_debito,52393,0,52393
276,276,daviplata,50006,0,50006
278,278,tarjeta_debito,24970,2497,27467
279,279,daviplata,58734,0,58734
280,280,tarjeta_debito,141420,14142,155562
